run_id,model,learning_rate,embedding_dim,negatives_per_positive,seed,tracking_backend
132,mf,0.001,128,4,42,mlflow
133,mf,0.001,128,8,13,mlflow
134,mf,0.001,128,8,21,mlflow
135,mf,0.001,128,8,42,mlflow
136,mf,0.003,32,2,13,mlflow
137,mf,0.003,32,2,21,mlflow
138,mf,0.003,32,2,42,mlflow
139,mf,0.003,32,4,13,mlflow
140,mf,0.003,32,4,21,mlflow
141,mf,0.003,32,4,42,mlflow
142,mf,0.003,32,8,13,mlflow
143,mf,0.003,32,8,21,mlflow
144,mf,0.003,32,8,42,mlflow
145,mf,0.003,64,2,13,mlflow
146,mf,0.003,64,2,21,mlflow
147,mf,0.003,64,2,42,mlflow
148,mf,0.003,64,4,13,mlflow
149,mf,0.003,64,4,21,mlflow
150,mf,0.003,64,4,42,mlflow
151,mf,0.003,64,8,13,mlflow
152,mf,0.003,64,8,21,mlflow
153,mf,0.003,64,8,42,mlflow
154,mf,0.003,128,2,13,mlflow
155,mf,0.003,128,2,21,mlflow
156,mf,0.003,128,2,42,mlflow
157,mf,0.003,128,4,13,mlflow
158,mf,0.003,128,4,21,mlflow
159,mf,0.003,128,4,42,mlflow
160,mf,0.003,128,8,13,mlflow
161,mf,0.003,128,8,21,mlflow
162,mf,0.003,128,8,42,mlflow
